video_file,label,frame_num,vehicle_id,class_name,centroid_x,centroid_y,bbox_width,bbox_height,speed_px_per_frame,avg_speed_5f,speed_drop_percent,direction_degrees,iou_with_nearest,trajectory_deviation_px,optical_flow_ratio,total_factor_score
sampleC.mp4,accident,82,1,car,457,172,73,70,0.0,0.0,0.0,0.0,0.0,0.0,1.2263,0
sampleC.mp4,accident,82,5,car,310,84,25,22,1.0,1.083,0.0,180.0,0.0,1.414,1.2263,0
sampleC.mp4,accident,83,1,car,457,173,73,70,1.0,0.2,0.0,90.0,0.0,1.0,0.5615,0
sampleC.mp4,accident,83,5,car,310,84,25,21,0.0,1.083,0.0,0.0,0.0,1.0,0.5615,0
sampleC.mp4,accident,84,1,car,456,172,74,70,1.414,0.483,0.0,-135.0,0.0,2.236,1.1974,0
sampleC.mp4,accident,84,5,car,310,85,24,21,1.0,0.883,0.0,90.0,0.0,1.0,1.1974,0
sampleC.mp4,accident,85,1,car,457,172,74,70,1.0,0.683,0.0,0.0,0.0,2.236,1.7282,0
sampleC.mp4,accident,86,1,car,457,171,74,70,1.0,0.883,0.0,-90.0,0.0,1.414,1.3293,0
sampleC.mp4,accident,87,1,car,456,171,74,70,1.0,1.083,0.0,180.0,0.0,1.414,1.021,0
sampleC.mp4,accident,89,1,car,457,171,74,70,1.0,1.083,0.0,0.0,0.0,2.0,0.4398,0
sampleC.mp4,accident,90,1,car,456,171,74,70,1.0,1.0,0.0,180.0,0.0,2.0,0.9049,0
sampleC.mp4,accident,91,5,car,309,82,25,21,3.162,1.232,0.0,-108.43,0.0,4.123,0.9876,0
sampleC.mp4,accident,94,5,car,309,82,25,21,0.0,1.032,100.0,0.0,0.0,3.162,1.0491,2
sampleC.mp4,accident,95,5,car,309,82,25,21,0.0,0.832,0.0,0.0,0.0,0.0,0.6862,0
sampleC.mp4,accident,96,5,car,308,82,26,21,1.0,1.032,18.861,180.0,0.0,1.0,0.9692,0
sampleC.mp4,accident,98,1,car,455,171,73,70,1.0,1.0,7.65,180.0,0.0,0.0,1.464,0
sampleC.mp4,accident,98,5,car,308,82,26,22,0.0,0.832,100.0,0.0,0.0,1.0,1.464,2
sampleC.mp4,accident,99,5,car,307,82,26,22,1.0,0.4,0.0,180.0,0.0,1.0,1.3203,0
sampleC.mp4,accident,100,1,car,454,172,74,70,1.414,1.083,0.0,135.0,0.0,1.0,1.4357,0
sampleC.mp4,accident,100,5,car,307,83,27,23,1.0,0.6,3.144,90.0,0.0,1.414,1.4357,0
sampleC.mp4,accident,101,1,car,454,172,74,70,0.0,0.883,100.0,0.0,0.0,1.414,0.7525,2
sampleC.mp4,accident,101,5,car,307,83,27,23,0.0,0.6,0.0,0.0,0.0,1.0,0.7525,0
sampleC.mp4,accident,102,1,car,454,172,73,70,0.0,0.683,100.0,0.0,0.0,0.0,0.8063,2
sampleC.mp4,accident,102,5,car,307,83,26,23,0.0,0.4,0.0,0.0,0.0,0.0,0.8063,0
sampleC.mp4,accident,103,5,car,308,83,26,22,1.0,0.6,0.0,0.0,0.0,1.0,1.339,0
sampleC.mp4,accident,104,1,car,455,171,74,71,1.414,0.766,0.0,-45.0,0.0,1.414,1.8253,0
sampleC.mp4,accident,104,5,car,308,83,26,22,0.0,0.4,0.0,0.0,0.0,1.0,1.8253,0
sampleC.mp4,accident,105,1,car,456,171,75,71,1.0,0.766,0.0,0.0,0.0,1.0,1.0104,0
sampleC.mp4,accident,105,5,car,309,83,26,22,1.0,0.4,0.0,0.0,0.0,1.0,1.0104,0
sampleC.mp4,accident,105,25,car,328,158,76,63,0.0,0.0,0.0,0.0,0.0,0.0,1.0104,0
sampleC.mp4,accident,106,1,car,456,171,75,72,0.0,0.483,0.0,0.0,0.0,1.0,0.9737,0
sampleC.mp4,accident,106,5,car,309,83,26,22,0.0,0.4,0.0,0.0,0.0,1.0,0.9737,0
sampleC.mp4,accident,107,5,car,309,83,27,22,0.0,0.4,0.0,0.0,0.0,0.0,0.8053,0
sampleC.mp4,accident,108,5,car,309,83,27,22,0.0,0.2,0.0,0.0,0.0,0.0,0.6304,0
sampleC.mp4,accident,108,25,car,329,158,77,63,1.0,0.5,0.0,0.0,0.0,0.0,0.6304,0
sampleC.mp4,accident,109,5,car,309,83,27,22,0.0,0.2,0.0,0.0,0.0,0.0,0.4006,0
sampleC.mp4,accident,109,25,car,330,159,79,65,1.414,0.805,0.0,45.0,0.0,1.0,0.4006,0
sampleC.mp4,accident,110,1,car,455,171,74,70,1.0,0.683,0.0,180.0,0.0,1.0,0.7656,0
sampleC.mp4,accident,110,5,car,310,83,27,22,1.0,0.2,0.0,0.0,0.0,1.0,0.7656,0
sampleC.mp4,accident,110,25,car,333,159,82,67,3.0,1.354,0.0,0.0,0.0,2.236,0.7656,0
sampleC.mp4,accident,111,1,car,455,171,73,70,0.0,0.683,0.0,0.0,0.0,1.0,0.8412,0
